event_id,session_id,event_type
1,2970,checkout
2,3961,homepage_view
3,3812,product_view
4,147,checkout
5,122,checkout
6,81,purchase
7,2733,add_to_cart
8,3738,homepage_view
9,2710,product_view
10,2423,homepage_view
11,3642,add_to_cart
12,2111,product_view
13,504,add_to_cart
14,668,purchase
15,2497,add_to_cart
16,3500,product_view
17,2916,homepage_view
18,3499,checkout
19,1445,homepage_view
20,1346,homepage_view
21,3985,homepage_view
22,2728,product_view
23,1190,homepage_view
24,1621,purchase
25,1981,purchase
26,1673,purchase
27,2509,homepage_view
28,459,purchase
29,1213,purchase
30,464,purchase
31,912,add_to_cart
32,2427,add_to_cart
33,1026,homepage_view
34,3690,checkout
35,2412,homepage_view
36,72,product_view
37,1451,purchase
38,2686,product_view
39,1194,homepage_view
40,3277,purchase
41,1849,purchase
42,2385,homepage_view
43,2023,checkout
44,3544,product_view
45,2243,product_view
46,3742,homepage_view
47,1012,homepage_view
48,653,homepage_view
49,1299,homepage_view
50,7,purchase
51,905,add_to_cart
52,3027,checkout
53,2029,add_to_cart
54,2614,homepage_view
55,616,purchase
56,3926,checkout
57,1874,product_view
58,2621,homepage_view
59,2647,add_to_cart
60,770,add_to_cart
61,3250,checkout
62,2290,homepage_view
63,3275,homepage_view
64,1567,add_to_cart
65,3873,add_to_cart
66,1486,homepage_view
67,3152,product_view
68,3595,add_to_cart
69,1441,add_to_cart
70,766,product_view
71,384,product_view
72,2439,checkout
73,2944,purchase
74,3871,homepage_view
75,688,homepage_view
76,1150,purchase
77,3566,product_view
78,47,add_to_cart
79,3790,add_to_cart
80,3548,homepage_view
81,1973,add_to_cart
82,2667,add_to_cart
83,464,add_to_cart
84,3859,homepage_view
85,1873,purchase
86,123,product_view
87,3546,add_to_cart
88,2182,checkout
89,1643,product_view
90,3889,checkout
91,841,purchase
92,1586,product_view
93,2897,product_view
94,2655,purchase
95,1804,homepage_view
96,23,homepage_view
97,566,purchase
98,1910,checkout
99,2814,purchase
100,965,homepage_view
101,2283,homepage_view
102,996,homepage_view
103,3131,add_to_cart
104,1188,add_to_cart
105,1795,product_view
106,826,homepage_view
107,216,add_to_cart
108,3255,product_view
109,3641,homepage_view
110,657,purchase
111,2983,homepage_view
112,1114,add_to_cart
113,1988,checkout
114,311,product_view
115,557,homepage_view
116,3020,product_view
117,2305,checkout
118,2581,homepage_view
119,1557,add_to_cart
120,52,purchase
121,1362,purchase
122,1195,product_view
123,3139,checkout
124,1649,purchase
125,2348,product_view
126,672,homepage_view
127,778,homepage_view
128,832,homepage_view
129,2280,checkout
130,3023,add_to_cart
131,1861,checkout
132,3140,checkout
133,1530,add_to_cart
134,2076,add_to_cart
135,1973,homepage_view
136,3700,checkout
137,1075,product_view
138,1717,product_view
139,1284,homepage_view
140,591,purchase
141,2833,purchase
142,2668,product_view
143,1987,product_view
144,2634,add_to_cart
145,3759,homepage_view
146,1002,homepage_view
147,2232,add_to_cart
148,1047,homepage_view
149,3858,product_view
150,2177,product_view
151,2339,product_view
152,1856,homepage_view
153,501,product_view
154,2234,product_view
155,479,product_view
156,1595,add_to_cart
157,2540,purchase
158,513,homepage_view
159,3715,checkout
160,3139,homepage_view
161,3877,add_to_cart
162,2515,product_view
163,2333,product_view
164,601,add_to_cart
165,1441,product_view
166,1124,product_view
167,189,checkout
168,989,homepage_view
169,2938,homepage_view
170,1882,homepage_view
171,388,homepage_view
172,2289,product_view
173,1806,product_view
174,2034,homepage_view
175,1755,homepage_view
176,2465,add_to_cart
177,3990,add_to_cart
178,2224,purchase
179,387,purchase
180,1495,purchase
181,853,checkout
182,3305,add_to_cart
183,2711,homepage_view
184,452,add_to_cart
185,2325,homepage_view
186,3301,checkout
187,3243,product_view
188,1759,add_to_cart
189,213,homepage_view
190,3354,product_view
191,41,product_view
192,1146,homepage_view
193,3299,product_view
194,2342,homepage_view
195,600,product_view
196,3339,product_view
197,2025,checkout
198,2589,product_view
199,2031,product_view
200,1783,purchase
201,1852,product_view
202,2499,product_view
203,3521,product_view
204,1780,checkout
205,3133,product_view
206,3574,product_view
207,3219,add_to_cart
208,3758,homepage_view
209,2838,checkout
210,2382,product_view
211,1905,add_to_cart
212,2939,add_to_cart
213,3214,homepage_view
214,2092,checkout
215,144,purchase
216,3937,product_view
217,333,purchase
218,998,homepage_view
219,3569,checkout
220,1420,product_view
221,55,product_view
222,1331,homepage_view
223,2918,product_view
224,1447,homepage_view
225,1441,purchase
226,3745,checkout
227,2845,homepage_view
228,2373,homepage_view
229,1734,checkout
230,1695,product_view
231,80,homepage_view
232,3103,product_view
233,985,product_view
234,3184,homepage_view
235,2606,add_to_cart
236,865,add_to_cart
237,2765,homepage_view
238,1588,purchase
239,3722,product_view
240,472,homepage_view
241,2122,homepage_view
242,1577,homepage_view
243,1503,product_view
244,589,homepage_view
245,1411,product_view
246,3771,homepage_view
247,1906,add_to_cart
248,564,checkout
249,3505,product_view
250,3484,add_to_cart
251,467,purchase
252,599,add_to_cart
253,1645,product_view
254,992,product_view
255,1933,checkout
256,2785,homepage_view
257,3042,product_view
258,2296,product_view
259,1605,add_to_cart
260,3192,checkout
261,67,product_view
262,2621,homepage_view
263,3399,purchase
264,3992,homepage_view
265,2751,homepage_view
266,470,product_view
267,2541,checkout
268,1725,checkout
269,2711,purchase
270,2334,homepage_view
271,3986,product_view
272,1632,homepage_view
273,2360,checkout
274,2357,product_view
275,775,homepage_view
276,3169,add_to_cart
277,3013,product_view
278,1137,product_view
279,2012,checkout
