user_id,country,user_type,device
1,UK,Returning,Mobile
2,Germany,New,Mobile
3,India,New,Mobile
4,UK,Returning,Mobile
5,UK,Returning,Mobile
6,Germany,New,Mobile
7,India,Returning,Mobile
8,India,Returning,Mobile
9,UK,Returning,Mobile
10,US,Returning,Desktop
11,UK,Returning,Desktop
12,UK,New,Desktop
13,UK,Returning,Desktop
14,UK,Returning,Mobile
15,Germany,New,Mobile
16,India,New,Mobile
17,Germany,New,Mobile
18,Germany,Returning,Desktop
19,Germany,Returning,Mobile
20,UK,New,Desktop
21,US,New,Mobile
22,India,New,Desktop
23,US,Returning,Mobile
24,Germany,Returning,Mobile
25,Germany,Returning,Mobile
26,US,New,Mobile
27,US,New,Mobile
28,US,New,Mobile
29,Germany,New,Desktop
30,Germany,Returning,Mobile
31,India,Returning,Mobile
32,India,Returning,Mobile
33,Germany,Returning,Desktop
34,US,New,Mobile
35,US,Returning,Mobile
36,India,Returning,Mobile
37,Germany,Returning,Mobile
38,India,New,Mobile
39,India,New,Mobile
40,UK,New,Mobile
41,UK,Returning,Desktop
42,UK,Returning,Mobile
43,US,New,Mobile
44,Germany,Returning,Mobile
45,Germany,Returning,Desktop
46,Germany,New,Mobile
47,Germany,New,Desktop
48,UK,Returning,Mobile
49,US,New,Mobile
50,US,Returning,Mobile
51,UK,New,Desktop
52,US,Returning,Mobile
53,UK,New,Desktop
54,Germany,New,Desktop
55,UK,Returning,Mobile
56,Germany,New,Mobile
57,Germany,New,Mobile
58,India,New,Mobile
59,UK,Returning,Desktop
60,India,Returning,Desktop
61,UK,Returning,Mobile
62,UK,New,Mobile
63,India,New,Desktop
64,India,New,Mobile
65,UK,New,Desktop
66,US,New,Mobile
67,Germany,New,Mobile
68,India,New,Mobile
69,Germany,Returning,Mobile
70,US,New,Mobile
71,US,New,Mobile
72,US,Returning,Mobile
73,India,New,Desktop
74,US,Returning,Desktop
75,India,Returning,Mobile
76,US,Returning,Mobile
77,Germany,New,Mobile
78,Germany,Returning,Mobile
79,UK,New,Mobile
80,Germany,New,Mobile
81,UK,New,Mobile
82,Germany,Returning,Mobile
83,India,New,Mobile
84,Germany,New,Mobile
85,UK,Returning,Desktop
